Data Set 1:Time(s),Data Set 1:Position Y(m),Data Set 1:Velocity Y(m/s),Data Set 1:Acceleration Y(m/s²),Data Set 2:Time(s),Data Set 2:Position Y(m),Data Set 2:Velocity Y(m/s),Data Set 2:Acceleration Y(m/s²),Data Set 3:Time(s),Data Set 3:Position Y(m),Data Set 3:Velocity Y(m/s),Data Set 3:Acceleration Y(m/s²),Data Set 4:Time(s),Data Set 4:Position Y(m),Data Set 4:Velocity Y(m/s),Data Set 4:Acceleration Y(m/s²)
0.02,0.01764388254377991,0.042884429502818323,-0.62771422920006981,0.02,0.010047210962511599,0.093256630417373462,-0.3176860672631594,0.02,-0.008086779504083097,-0.1082321447837684,0.38882924917866907,0.02,0.0029406471876427531,-0.14567094234128794,-0.042945836092392692
0.059999999999999998,0.020094421342946589,0.018889570168943867,-0.6517989285283774,0.059999999999999998,0.013968073413707316,0.083641672325837926,-0.43481236714819455,0.059999999999999998,-0.012742803781293333,-0.09521365734852022,0.48155171806021474,0.059999999999999998,-0.002695593168027699,-0.14967008294964521,0.070599555564749186
0.10000000000000001,0.020094421342946589,-0.0098021553518871461,-0.65383163904765818,0.10000000000000001,0.017398829222656786,0.065654031156251819,-0.60756505829178609,0.10000000000000001,-0.016418612911365926,-0.074843548548718289,0.61224475373617471,0.10000000000000001,-0.0090669946512207389,-0.14846183068584648,0.28812976547164409
0.14000000000000001,0.019114206195808947,-0.035056326952245496,-0.62180543261126375,0.14000000000000001,0.019849368021823466,0.033865082595083446,-0.74803142109167198,0.14000000000000001,-0.019114205031655729,-0.045607260997510619,0.72451384380936934,0.14000000000000001,-0.015193342580460012,-0.13222701381891966,0.61619190739607499
0.17999999999999999,0.017153774038888514,-0.058881015542687647,-0.59906793274668979,0.17999999999999999,0.020094421342946589,-0.00017018561872343251,-0.75183662972819931,0.17999999999999999,-0.02009442204143852,-0.013273762952950267,0.75242759097212308,0.17999999999999999,-0.020339475362561643,-0.097000514991426215,0.89681747125903277
0.22,0.014458180987276137,-0.08270569633168634,-0.57569230033056351,0.22,0.019604312838055193,-0.028929976461869147,-0.6783180500815994,0.22,-0.02009442204143852,0.017017632490023971,0.70880816797342294,0.22,-0.023280122666619718,-0.05241431063041091,0.97158872649518402
0.26000000000000001,0.01053731853608042,-0.10601985223830625,-0.52163772464570501,0.26000000000000001,0.01764388254377991,-0.053775718616735607,-0.60932579785519836,0.26000000000000001,-0.018624098389409482,0.044245850424178772,0.63284332150538436,0.26000000000000001,-0.02426033781375736,-0.013273753898425236,0.88373518180706467
0.29999999999999999,0.0058812942588701844,-0.12627083791206437,-0.4162229739719166,0.29999999999999999,0.015193342813290656,-0.075558293651233219,-0.58533567465210468,0.29999999999999999,-0.016418612911365926,0.067389835344834462,0.55330945057039005,0.29999999999999999,-0.024015284492634237,0.01786851660451955,0.78387475926398487
0.34000000000000002,0.00024505396140739322,-0.14090600468787468,-0.26010981456900867,0.34000000000000002,0.01176258793566376,-0.10040403524019187,-0.56252729670890356,0.34000000000000002,-0.013232911354862154,0.089172403911814191,0.45510344203469216,0.34000000000000002,-0.022790014161728323,0.046798494359892279,0.73577628752923097
0.38,-0.0056362402392551303,-0.14805340878309739,-0.059089020452782519,0.38,0.0071065636584535241,-0.12320766274772017,-0.47223931317232731,0.38,-0.0090669946512207389,0.10499879568265495,0.32487127838729429,0.38,-0.020339475362561643,0.076409174814923791,0.69157770313823785
