Servo x	Yellow x	Green x
-0.0161	0.1012	-0.0297
-0.0138	0.0696	-0.0630
-0.0138	0.0370	-0.0953
-0.0094	0.0042	-0.1269
-0.0094	-0.0287	-0.1573
-0.0058	-0.0615	-0.1862
-0.0058	-0.0931	-0.2134
-0.0024	-0.1240	-0.2384
-0.0024	-0.1536	-0.2610
0.0024	-0.1813	-0.2811
0.0024	-0.2073	-0.2985
0.0063	-0.2308	-0.3127
0.0063	-0.2517	-0.3237
0.0107	-0.2698	-0.3316
0.0107	-0.2850	-0.3357
0.0134	-0.2970	-0.3367
0.0134	-0.3056	-0.3343
0.0161	-0.3107	-0.3286
0.0161	-0.3124	-0.3196
0.0185	-0.3107	-0.3073
0.0185	-0.3056	-0.2921
0.0196	-0.2970	-0.2742
0.0196	-0.2852	-0.2534
0.0200	-0.2703	-0.2304
0.0200	-0.2527	-0.2049
0.0197	-0.2321	-0.1772
0.0197	-0.2090	-0.1483
0.0183	-0.1835	-0.1174
0.0183	-0.1563	-0.0858
0.0164	-0.1272	-0.0532
0.0164	-0.0968	-0.0201
0.0138	-0.0652	0.0127
0.0138	-0.0328	0.0458
0.0090	-0.0002	0.0779
0.0090	0.0326	0.1093
0.0067	0.0649	0.1392
0.0067	0.0966	0.1676
0.0029	0.1274	0.1941
0.0029	0.1568	0.2183
-0.0015	0.1848	0.2399
-0.0015	0.2107	0.2588
-0.0053	0.2345	0.2750
-0.0053	0.2556	0.2877
-0.0090	0.2745	0.2970
-0.0090	0.2901	0.3026
-0.0131	0.3029	0.3048
-0.0134	0.3124	0.3036
-0.0158	0.3188	0.2990
-0.0158	0.3218	0.2906
-0.0176	0.3213	0.2791
-0.0176	0.3176	0.2642
-0.0194	0.3107	0.2463
-0.0195	0.3007	0.2257
-0.0200	0.2872	0.2024
-0.0200	0.2708	0.1767
-0.0198	0.2517	0.1487
-0.0198	0.2299	0.1193
-0.0179	0.2058	0.0882
-0.0179	0.1794	0.0564
-0.0169	0.1510	0.0235
-0.0166	0.1213	-0.0093
-0.0145	0.0899	-0.0421
-0.0145	0.0578	-0.0750
-0.0107	0.0250	-0.1068
-0.0107	-0.0081	-0.1380
-0.0072	-0.0412	-0.1676
-0.0072	-0.0738	-0.1958
-0.0039	-0.1054	-0.2220
-0.0039	-0.1362	-0.2460
0.0010	-0.1652	-0.2676
0.0010	-0.1926	-0.2867
0.0049	-0.2179	-0.3031
0.0049	-0.2406	-0.3164
0.0086	-0.2605	-0.3264
0.0086	-0.2779	-0.3330
0.0127	-0.2921	-0.3367
0.0127	-0.3031	-0.3367
0.0155	-0.3105	-0.3335
0.0155	-0.3144	-0.3274
0.0174	-0.3149	-0.3178
0.0174	-0.3117	-0.3048
0.0193	-0.3053	-0.2892
0.0193	-0.2953	-0.2703
0.0199	-0.2821	-0.2492
0.0199	-0.2659	-0.2254
0.0198	-0.2468	-0.1992
0.0198	-0.2247	-0.1713
0.0187	-0.2005	-0.1416
0.0187	-0.1737	-0.1105
0.0172	-0.1453	-0.0784
0.0172	-0.1152	-0.0453
0.0148	-0.0838	-0.0120
0.0148	-0.0517	0.0213
0.0111	-0.0189	0.0544
0.0111	0.0142	0.0867
0.0081	0.0473	0.1181
0.0081	0.0796	0.1480
0.0044	0.1113	0.1762
0.0044	0.1419	0.2024
-0.0005	0.1706	0.2262
-0.0005	0.1978	0.2470
-0.0044	0.2230	0.2654
-0.0044	0.2455	0.2806
-0.0077	0.2656	0.2923
-0.0077	0.2830	0.3007
-0.0123	0.2975	0.3056
-0.0123	0.3088	0.3066
-0.0148	0.3166	0.3041
-0.0148	0.3213	0.2982
-0.0172	0.3225	0.2887
-0.0172	0.3208	0.2759
-0.0191	0.3156	0.2598
-0.0191	0.3073	0.2406
-0.0199	0.2958	0.2191
-0.0199	0.2813	0.1946
-0.0199	0.2639	0.1679
-0.0199	0.2438	0.1394
-0.0190	0.2213	0.1090
-0.0190	0.1965	0.0772
-0.0174	0.1696	0.0448
-0.0174	0.1414	0.0115
-0.0155	0.1113	-0.0216
-0.0155	0.0801	-0.0549
-0.0115	0.0480	-0.0875
-0.0115	0.0154	-0.1193
-0.0081	-0.0172	-0.1505
-0.0081	-0.0497	-0.1796
-0.0053	-0.0816	-0.2073
-0.0053	-0.1127	-0.2330
0.0000	-0.1431	-0.2563
0.0000	-0.1718	-0.2772
0.0034	-0.1987	-0.2953
0.0034	-0.2235	-0.3102
0.0072	-0.2455	-0.3222
0.0072	-0.2649	-0.3311
0.0115	-0.2818	-0.3362
0.0115	-0.2953	-0.3382
0.0145	-0.3056	-0.3369
0.0145	-0.3122	-0.3323
0.0166	-0.3154	-0.3245
0.0166	-0.3151	-0.3132
0.0190	-0.3115	-0.2990
0.0190	-0.3041	-0.2818
0.0198	-0.2936	-0.2620
0.0198	-0.2796	-0.2397
0.0200	-0.2627	-0.2149
0.0200	-0.2431	-0.1880
0.0191	-0.2205	-0.1593
0.0191	-0.1956	-0.1289
0.0176	-0.1686	-0.0973
0.0176	-0.1394	-0.0649
0.0158	-0.1088	-0.0319
0.0158	-0.0772	0.0012
0.0123	-0.0446	0.0346
0.0119	-0.0113	0.0674
0.0090	0.0218	0.0992
0.0090	0.0551	0.1299
