Servo x	Yellow x	Green x
0.0145	-0.2789	-0.3051
0.0145	-0.2818	-0.2987
0.0169	-0.2816	-0.2894
0.0169	-0.2786	-0.2774
0.0187	-0.2725	-0.2627
0.0187	-0.2634	-0.2455
0.0198	-0.2517	-0.2259
0.0198	-0.2372	-0.2039
0.0200	-0.2201	-0.1801
0.0200	-0.2007	-0.1546
0.0194	-0.1789	-0.1274
0.0194	-0.1554	-0.0988
0.0176	-0.1301	-0.0694
0.0176	-0.1034	-0.0392
0.0158	-0.0755	-0.0091
0.0158	-0.0468	0.0213
0.0131	-0.0174	0.0515
0.0131	0.0120	0.0806
0.0086	0.0417	0.1088
0.0086	0.0708	0.1358
0.0058	0.0995	0.1610
0.0053	0.1272	0.1845
0.0020	0.1536	0.2056
0.0020	0.1786	0.2242
-0.0034	0.2019	0.2404
-0.0034	0.2230	0.2536
-0.0072	0.2414	0.2639
-0.0072	0.2578	0.2710
-0.0099	0.2713	0.2752
-0.0103	0.2821	0.2759
-0.0141	0.2899	0.2735
-0.0141	0.2946	0.2678
-0.0164	0.2963	0.2593
-0.0164	0.2948	0.2475
-0.0183	0.2904	0.2330
-0.0183	0.2830	0.2159
-0.0198	0.2725	0.1963
-0.0198	0.2593	0.1742
-0.0200	0.2433	0.1502
-0.0200	0.2250	0.1242
-0.0196	0.2041	0.0968
-0.0196	0.1811	0.0684
-0.0179	0.1563	0.0387
-0.0179	0.1299	0.0086
-0.0155	0.1019	-0.0218
-0.0151	0.0730	-0.0522
-0.0127	0.0434	-0.0823
-0.0127	0.0132	-0.1115
-0.0094	-0.0169	-0.1397
-0.0094	-0.0471	-0.1666
-0.0058	-0.0767	-0.1919
-0.0058	-0.1054	-0.2152
-0.0020	-0.1331	-0.2365
-0.0020	-0.1590	-0.2551
0.0024	-0.1833	-0.2715
0.0024	-0.2056	-0.2852
0.0063	-0.2257	-0.2963
0.0063	-0.2431	-0.3044
0.0099	-0.2578	-0.3093
0.0099	-0.2698	-0.3112
0.0134	-0.2786	-0.3100
0.0134	-0.2843	-0.3061
0.0161	-0.2870	-0.2990
0.0161	-0.2862	-0.2889
0.0181	-0.2823	-0.2762
0.0181	-0.2752	-0.2605
0.0196	-0.2651	-0.2428
0.0196	-0.2522	-0.2223
0.0200	-0.2367	-0.1997
0.0200	-0.2183	-0.1752
0.0194	-0.1975	-0.1492
0.0194	-0.1747	-0.1211
0.0181	-0.1497	-0.0921
0.0181	-0.1233	-0.0620
0.0164	-0.0953	-0.0316
0.0164	-0.0664	-0.0010
0.0141	-0.0368	0.0299
0.0141	-0.0066	0.0600
0.0099	0.0238	0.0894
0.0099	0.0537	0.1179
0.0063	0.0833	0.1448
0.0063	0.1120	0.1698
0.0029	0.1397	0.1933
0.0029	0.1657	0.2142
-0.0020	0.1902	0.2326
-0.0020	0.2127	0.2480
-0.0058	0.2328	0.2607
