Data Set 1:Time(s),Data Set 1:Position G(m),Data Set 1:Velocity G(m/s),Data Set 1:Acceleration G(m/s²),Data Set 1:Position Y 1(m),Data Set 1:Velocity Y 1(m/s),Data Set 1:Acceleration Y 1(m/s²),Data Set 1:Position Y 2(m),Data Set 1:Velocity Y 2(m/s),Data Set 1:Acceleration Y 2(m/s²)
0.02,-0.061998605728149414,0.015656070576773748,1.3948543123716926,-0.11689072102308273,0.31380515752567184,0.79524330291782064,0.079887574538588524,-0.1378428139206436,-2.5717895906483235
0.059999999999999998,-0.062733769416809082,0.065262388024065227,1.573304234670452,-0.10512813180685043,0.34222458747939927,0.89588396202335951,0.076946927234530449,-0.23024854534823033,-2.8470854897561906
0.10000000000000001,-0.059303045272827148,0.13580063978830972,1.7210151224086678,-0.090915009379386902,0.38207990738252801,0.98638485198737047,0.066164558753371239,-0.35992291794779402,-3.0096395863370997
0.14000000000000001,-0.0521964430809021,0.21306061082416108,1.6229977733513092,-0.074741445481777191,0.42578121647238731,0.96506516508079698,0.048275621607899666,-0.49163942425770474,-2.6809865220580651
0.17999999999999999,-0.041659176349639893,0.27874861326482564,1.170496694904603,-0.056607455015182495,0.46560243806905216,0.77895817661623434,0.025485606864094734,-0.59510663235818761,-1.7698339083218331
0.22,-0.028916358947753906,0.31465618974632686,0.47377834993380064,-0.03700314462184906,0.49129906110465527,0.49171483943261823,-0.00098021561279892921,-0.64581917961024571,-0.46408501994274332
0.26000000000000001,-0.015438377857208252,0.31805969774723053,-0.28539997996923383,-0.016908720135688782,0.50457279818753398,0.19239387144392098,-0.028181200847029686,-0.63509807320466882,0.95393300724049146
0.29999999999999999,-0.0024505257606506348,0.28964024451043868,-0.98749788271056271,0.003675803542137146,0.50678508770134711,-0.11853165177191434,-0.053666809573769569,-0.56566610938817663,2.274808503213456
0.34000000000000002,0.0085769295692443848,0.23450280229250589,-1.5504974411961465,0.024015277624130249,0.49640442141228253,-0.46278383830033265,-0.074986496940255165,-0.44620232365559787,3.380008785353747
0.38,0.016908705234527588,0.15996557970841729,-1.9288996671452938,0.043864652514457703,0.47104820195171576,-0.8383542795113671,-0.090669946745038033,-0.28606645193778818,4.187991862074993
0.41999999999999998,0.021809816360473633,0.072835551367865667,-2.0714211967532283,0.06224370002746582,0.42918482795357704,-1.2103798454282468,-0.098756732419133186,-0.098702316689822392,4.6096516798345961
0.46000000000000002,0.022790014743804932,-0.015315703219837612,-1.9281907696966771,0.078662320971488953,0.37268621640072919,-1.5452972406314478,-0.098756732419133186,0.095809284701115535,4.6179243268672936
0.5,0.020094454288482666,-0.08968272142940098,-1.5299326602231575,0.092385336756706238,0.30461559072136879,-1.8499601477136205,-0.090915003791451454,0.28368396322346395,4.2173005313986929
0.54000000000000004,0.01494830846786499,-0.14311816129419541,-0.94920744613548902,0.10341276228427887,0.22446247231629166,-2.134059279881142,-0.075231553986668587,0.44569181918632256,3.4354347075417624
0.57999999999999996,0.0078417658805847168,-0.17017622788747155,-0.22915059723603851,0.11076436936855316,0.13205671889914411,-2.359305565923822,-0.053911862894892693,0.56685737444139617,2.3847140401352425
0.62,0.00024509429931640625,-0.16387999057769773,0.55708735606368665,0.11419512331485748,0.032503613167338893,-2.4896554855836759,-0.028426254168152809,0.64122442951581116,1.1738621330472214
0.66000000000000003,-0.0063713788986206055,-0.12388875087102258,1.2966491465951193,0.11345995962619781,-0.070282878975073515,-2.5184908565593731,-0.00098021561279892921,0.66351752676483677,-0.11203276688005827
0.69999999999999996,-0.010537326335906982,-0.055818011363347381,1.9066877099742865,0.10855887830257416,-0.17238865709967088,-2.4367113637933393,0.026465823873877525,0.63050331890634792,-1.3410840422435353
0.73999999999999999,-0.011517524719238281,0.034035328361723155,2.3376830008432816,0.099491879343986511,-0.26887853940327955,-2.2364001402079503,0.050971215590834618,0.54966956474042172,-2.3780961214750862
0.78000000000000003,-0.0083318352699279785,0.13886412812603849,2.5244016073828131,0.086749091744422913,-0.3553281538188458,-1.9086934453635314,0.071555746719241142,0.43241805946713113,-3.1638616870443426
0.81999999999999995,-0.00049006938934326172,0.24590500526958045,2.4116561420399831,0.070575520396232605,-0.42595140015085547,-1.4505168296580688,0.086504032835364342,0.28674712197648161,-3.6365736191384475
0.85999999999999999,0.011762619018554688,0.34086300681034715,2.0137519782616025,0.051951423287391663,-0.47445155473219008,-0.89732558900536319,0.09483586810529232,0.12984456390970281,-3.7477793703595865
0.90000000000000002,0.02744603157043457,0.41437941706842851,1.3731114773286717,0.031857013702392578,-0.49895700067281729,-0.29804565179173237,0.096796302124857903,-0.02416505271361934,-3.5084691044625136
0.93999999999999995,0.04582512378692627,0.4579446588953337,0.51371879691694711,0.011272475123405457,-0.49878689977857804,0.32073509862163818,0.092385327443480492,-0.16149738027403757,-2.9409778626696017
0.97999999999999998,0.065429419279098511,0.46032687856091359,-0.48843152062208778,-0.0088219493627548218,-0.47360074499414995,0.94341598867933252,0.082828221842646599,-0.26717683714297064,-2.1326400976114948
1.02,0.084053516387939453,0.41914416684044703,-1.5084239234572916,-0.027446046471595764,-0.42254775245156528,1.5363145158281171,0.069840369746088982,-0.33592807594686724,-1.1995068641148088
1.0600000000000001,0.10022705793380737,0.33728943930731869,-2.4569191665239121,-0.043374538421630859,-0.34801056608557696,2.0449517623889264,0.054647022858262062,-0.36383702083387298,-0.24569209028728611
1.1000000000000001,0.11223471164703369,0.21799597889184977,-3.2554487669035623,-0.055872298777103424,-0.25492416073878638,2.42619422396622,0.039453679695725441,-0.35226501123462323,0.61074413230173885
